sIP,dIP,proto,ct
88.146.234.210,109.111.99.5,6,7
249.69.148.107,247.116.59.70,6,14
135.202.209.219,117.83.127.252,6,12
242.91.200.213,158.149.52.25,6,14
241.237.186.186,119.128.90.135,6,7
4.243.59.45,185.195.6.217,6,11
195.147.197.134,130.101.219.243,6,5
96.159.220.144,151.81.200.126,6,3
46.229.68.182,203.30.189.60,6,15
129.119.167.22,111.218.124.50,6,2
139.108.13.69,48.165.18.74,6,15
89.174.7.97,102.17.199.34,6,18
144.110.113.94,74.137.16.249,6,16
93.88.6.55,185.114.36.105,6,12
200.89.4.171,246.160.69.28,6,13
206.120.46.221,129.3.117.219,6,10
14.153.90.0,142.185.213.127,6,7
79.100.68.26,85.254.131.69,6,6
154.194.80.128,0.239.166.210,6,7
237.221.151.92,32.27.106.120,6,8
233.50.32.232,255.221.158.38,6,16
91.168.170.215,225.131.220.180,6,7
141.86.66.166,44.182.228.163,6,10
129.18.94.64,67.113.149.189,6,8
199.199.219.17,240.22.85.225,6,4
139.13.105.206,124.142.118.186,6,20
234.93.221.78,142.9.2.119,6,13
162.92.130.30,59.84.35.112,6,5
232.162.66.228,3.96.138.55,6,12
64.174.67.137,180.49.221.36,6,4
10.112.244.188,133.93.246.160,6,18
136.199.78.27,226.208.223.191,6,13
69.141.84.18,49.57.194.71,6,6
118.221.199.201,174.7.57.124,6,7
103.167.194.90,58.36.37.11,6,9
2.194.146.116,220.201.70.213,6,17
132.3.253.14,26.165.207.42,6,13
88.89.87.254,69.239.171.142,6,15
33.163.169.91,154.204.205.93,6,16
69.56.82.3,27.244.22.139,6,14
140.143.68.102,229.21.9.140,6,6
33.186.152.212,122.255.50.47,6,8
40.193.241.143,184.231.14.53,6,4
245.177.100.72,2.191.231.159,6,16
89.64.137.103,144.34.163.146,6,5
229.184.67.75,70.146.193.48,6,7
150.18.146.209,27.154.248.120,6,19
181.192.31.206,201.200.163.41,6,13
119.106.47.133,103.200.77.86,6,8
87.112.255.110,34.4.116.36,6,13
189.64.35.113,17.48.166.170,6,1
105.235.94.202,227.177.69.164,6,14
42.52.148.179,69.251.142.147,6,4
19.67.117.215,197.204.153.87,6,1
219.184.16.227,33.242.194.222,6,1
151.17.69.133,193.51.236.132,6,19
127.10.94.12,14.64.82.50,6,5
95.68.121.227,24.244.135.43,6,1
54.131.251.240,122.20.127.153,6,9
172.205.76.106,182.219.28.94,6,7
176.195.79.56,110.196.124.21,6,1
228.199.188.13,127.54.109.162,6,7
217.233.149.127,64.28.3.142,6,19
103.100.120.235,83.88.50.50,6,17
146.85.169.251,19.90.205.168,6,14
79.225.38.163,145.17.133.211,6,8
116.253.205.181,107.170.12.117,6,10
100.205.15.248,199.101.230.80,6,19
121.82.183.202,85.50.226.245,6,14
83.147.149.45,5.111.176.185,6,19
225.32.79.181,219.204.246.255,6,1
64.224.3.198,99.80.209.133,6,4
247.230.3.59,91.180.150.44,6,17
196.82.219.36,114.57.45.126,6,12
177.93.136.104,202.75.181.198,6,3
254.165.50.123,172.120.79.250,6,6
110.122.159.99,118.210.122.86,6,10
72.215.89.26,161.221.189.221,6,3
17.85.110.204,165.32.60.251,6,6
50.99.41.104,151.247.66.84,6,17
255.251.208.96,2.160.58.155,6,19
91.170.155.145,222.187.193.75,6,8
81.173.203.210,79.45.11.16,6,13
154.218.165.154,232.242.12.252,6,8
32.34.242.234,56.0.101.66,6,14
43.71.25.155,147.194.155.40,6,14
158.69.199.205,237.7.236.44,6,17
178.168.100.230,172.33.231.80,6,1
74.57.29.57,206.246.109.103,6,8
100.126.177.78,182.172.243.56,6,10
151.141.97.221,121.25.201.186,6,10
251.167.240.137,63.138.201.244,6,5
146.227.104.220,99.102.47.99,6,6
94.233.101.227,7.92.219.189,6,5
42.253.38.208,201.211.117.74,6,13
121.126.204.20,19.78.19.244,6,16
85.136.15.161,47.29.223.81,6,15
211.40.61.68,167.147.175.201,6,12
12.138.10.94,211.16.172.213,6,12
227.32.227.86,27.55.15.95,6,20
71.125.212.145,117.9.158.61,6,2
41.232.183.119,108.185.143.133,6,4
60.135.78.33,162.247.70.242,6,4
225.21.173.255,38.160.182.145,6,5
47.104.75.234,60.44.41.100,6,7
213.243.11.250,174.91.12.152,17,13
51.132.249.211,10.107.192.199,17,9
4.134.48.171,56.145.99.242,17,1
149.188.214.227,36.122.205.243,17,8
220.213.240.37,144.81.62.16,17,11
96.110.34.119,255.145.241.19,17,14
65.77.171.219,163.248.71.196,17,19
66.211.190.243,238.165.234.234,17,20
185.1.155.58,109.150.118.200,17,6
82.151.11.6,101.149.81.24,17,4
53.212.104.195,133.255.74.20,17,4
171.93.210.236,179.127.18.154,17,16
249.99.12.7,218.168.200.13,17,11
