sIP,dIP,proto,ct
215.146.48.69,195.207.138.124,6,1
125.252.162.145,107.67.35.203,6,13
13.64.19.230,87.180.249.10,6,11
242.40.46.207,133.192.254.43,6,3
119.86.232.71,191.174.100.20,6,3
56.86.29.23,142.60.247.188,6,6
210.5.117.146,67.168.115.178,6,3
73.150.38.182,9.250.185.30,6,17
26.223.164.244,77.217.181.200,6,14
44.201.234.194,240.197.206.145,6,15
43.231.9.172,225.74.90.10,6,9
81.195.244.2,31.48.27.88,6,4
126.55.211.10,47.184.97.164,6,2
129.15.158.13,3.195.159.44,6,3
24.172.226.176,118.106.65.4,6,2
167.88.199.239,139.16.79.219,6,7
58.83.80.170,123.227.37.38,6,3
157.114.0.49,161.127.159.74,6,8
127.0.208.145,25.132.35.117,6,19
69.92.224.179,223.137.40.24,6,16
155.165.127.214,15.229.0.207,6,8
83.158.223.218,158.95.161.246,6,3
89.163.186.156,184.226.113.213,6,1
198.159.135.144,210.10.79.184,6,15
103.0.133.182,195.250.60.23,6,3
163.72.15.59,171.26.234.95,6,14
212.26.46.223,240.241.200.61,6,14
172.40.226.26,248.45.174.50,6,11
75.64.255.105,78.58.125.139,6,11
198.81.98.204,35.92.203.183,6,7
135.219.53.62,48.138.197.174,6,19
20.154.96.222,212.247.59.191,6,7
2.227.184.45,138.189.165.49,6,12
236.240.181.165,118.142.131.181,6,14
43.154.40.114,137.227.222.15,6,9
55.12.192.29,4.250.236.24,6,11
71.240.106.17,220.86.211.153,6,14
176.108.214.222,3.225.194.45,6,11
7.230.4.234,88.12.142.125,6,3
120.3.31.96,59.194.128.245,6,1
176.210.161.71,63.64.180.101,6,10
96.124.150.163,169.145.184.255,6,19
226.133.114.255,67.48.54.245,6,6
221.31.144.115,78.16.112.21,6,20
200.194.216.32,186.51.110.91,6,1
84.37.81.16,124.221.127.252,6,1
172.68.111.198,240.189.209.108,6,9
227.36.27.252,238.0.161.75,6,12
60.248.21.72,244.141.169.160,6,15
134.41.91.39,61.81.73.7,6,17
4.63.163.21,142.75.54.119,6,5
97.47.231.239,128.70.140.111,6,6
77.89.213.144,8.178.19.4,6,11
142.17.110.139,216.165.240.252,6,17
126.86.245.14,152.192.68.122,6,7
252.218.194.141,242.164.104.228,6,9
238.126.61.166,152.241.231.232,6,20
15.152.62.254,74.231.186.107,6,14
182.208.35.164,162.185.208.237,6,18
68.247.2.154,6.76.93.220,6,14
73.42.246.138,124.225.124.80,6,3
252.150.234.74,18.188.129.55,6,6
103.171.88.151,96.137.221.174,6,3
154.205.110.243,39.29.168.255,6,18
65.157.252.150,212.233.8.104,6,8
191.203.124.143,215.252.145.193,6,4
195.150.172.69,159.37.17.150,6,7
255.26.4.65,90.191.169.238,6,9
161.234.104.91,132.206.226.101,6,16
91.64.224.9,190.48.30.227,6,17
43.131.35.19,105.49.57.161,6,17
199.126.66.252,149.38.222.80,6,16
208.246.241.34,237.72.57.52,6,20
103.161.144.42,141.15.127.153,6,6
222.127.78.35,61.130.148.116,6,7
255.227.216.90,60.254.104.166,6,17
115.111.193.89,249.112.121.4,6,10
93.227.224.198,186.152.61.16,6,7
28.67.22.239,80.130.99.190,6,6
197.252.185.139,82.39.253.49,6,5
77.178.191.92,137.148.80.53,6,1
241.37.247.132,128.41.204.124,6,3
27.106.24.148,116.116.18.102,6,15
25.171.21.136,204.3.190.132,6,10
36.135.95.145,165.212.34.166,6,5
191.233.98.26,254.164.194.177,6,9
59.98.232.61,182.43.34.30,6,9
224.93.149.208,39.4.252.31,6,1
148.199.98.242,68.85.188.135,6,19
44.28.124.202,143.152.153.131,6,20
24.78.76.243,207.188.178.233,6,3
125.145.93.142,38.211.210.53,6,20
128.32.124.202,18.94.49.101,6,19
134.15.9.215,73.99.80.225,6,11
115.193.114.184,210.93.129.159,6,2
250.38.171.228,244.122.138.170,6,19
63.84.108.181,10.39.105.29,6,4
149.116.174.234,180.9.62.35,6,15
106.70.54.249,23.250.249.11,6,8
250.125.34.26,171.172.172.171,6,5
94.236.226.76,250.182.79.205,17,1
219.126.41.49,122.155.143.164,17,7
12.177.66.18,215.150.198.58,17,5
78.42.59.3,111.1.2.11,17,8
85.177.204.208,65.221.123.167,17,14
232.102.240.21,243.239.166.106,17,19
18.187.205.102,240.167.142.65,17,12
204.36.182.153,92.100.20.133,17,15
250.171.98.104,235.208.121.25,17,2
1.160.112.239,136.156.164.11,17,15
