sIP,dIP,proto,ct
113.29.136.203,215.44.48.185,6,8
31.166.255.66,84.151.89.251,6,4
141.85.164.18,235.223.132.128,6,12
32.64.182.121,46.134.43.155,6,3
209.173.86.48,112.65.212.143,6,1
80.53.32.35,199.237.104.4,6,16
198.252.172.147,110.197.16.188,6,18
228.3.145.36,28.180.96.223,17,6
160.125.1.255,109.13.3.43,17,5
173.243.240.96,80.67.71.46,17,1
20.57.135.163,181.69.79.200,17,11
52.243.47.195,79.11.229.166,17,8
115.67.122.14,158.38.163.116,17,8
21.23.114.213,153.65.87.55,17,18
92.150.177.43,138.168.200.195,17,14
60.191.59.146,240.111.221.56,17,3
14.229.64.127,49.194.97.46,17,10
14.226.242.51,30.171.5.210,17,4
18.85.111.226,86.79.252.139,17,11
241.213.1.14,199.189.246.192,17,1
107.46.1.246,118.238.48.185,17,6
217.125.141.137,94.91.51.125,17,18
32.2.125.121,138.149.99.224,17,13
32.81.113.185,190.14.187.6,17,6
97.198.115.15,103.179.12.213,17,3
116.27.196.82,179.107.245.35,17,20
255.93.127.141,70.204.251.60,17,5
80.165.204.200,201.59.129.28,17,14
160.235.34.176,196.78.34.109,17,19
129.250.204.58,61.17.18.162,17,20
129.136.214.68,4.134.156.17,17,9
131.96.189.155,203.102.223.5,17,3
87.196.217.130,89.190.216.113,17,16
229.147.201.11,15.42.95.6,17,14
139.177.151.43,234.215.135.223,17,12
157.105.68.182,2.2.18.79,17,16
180.7.61.9,20.50.190.24,17,16
229.177.193.89,178.215.64.123,17,15
76.40.80.160,212.203.192.124,17,17
141.195.97.242,107.59.146.60,17,2
77.89.67.13,189.7.26.102,17,8
130.114.148.215,116.30.106.68,17,18
114.61.1.101,69.179.162.165,17,16
227.86.114.152,79.199.188.81,17,1
50.230.82.245,5.202.121.218,17,16
185.124.118.34,38.192.174.5,17,10
87.185.217.9,60.133.143.115,17,15
61.107.85.37,137.166.73.164,17,5
45.93.151.181,113.16.9.139,17,14
57.160.47.236,201.19.144.226,17,17
108.194.133.70,247.197.70.220,17,19
16.109.134.249,177.81.76.241,17,13
174.66.44.116,182.134.36.91,17,19
149.175.115.103,202.71.161.212,17,14
157.175.116.24,50.117.35.248,17,8
50.85.126.161,143.143.227.252,17,16
102.53.140.31,243.172.255.184,17,9
113.55.156.210,3.221.183.180,17,5
253.4.241.36,144.250.197.148,17,20
188.250.145.148,253.222.183.128,17,11
142.135.171.95,140.2.79.3,17,11
246.249.69.94,152.228.126.111,17,15
68.64.128.237,0.14.211.170,17,12
13.227.247.63,29.7.18.157,17,12
73.245.138.232,61.240.200.22,17,16
97.79.243.57,69.120.91.212,17,12
138.119.78.255,202.139.248.2,17,16
22.242.40.174,229.18.60.87,17,7
70.35.22.48,82.1.1.21,17,16
109.105.211.209,25.170.29.19,17,12
123.61.81.177,147.68.185.51,17,10
120.225.96.105,39.214.180.14,17,8
26.191.35.127,171.78.51.217,17,20
183.24.153.103,223.35.255.51,17,10
74.255.40.175,29.233.143.160,17,14
211.112.52.136,46.39.150.111,17,10
42.174.58.187,49.133.25.147,17,15
137.137.107.140,156.254.28.238,17,19
232.116.146.170,196.248.109.59,17,7
161.177.61.88,131.81.110.122,17,2
202.42.58.199,63.32.79.191,17,12
228.230.156.232,18.150.1.214,17,1
82.41.203.116,55.81.143.85,17,4
103.192.133.208,8.249.171.153,17,19
108.107.205.75,97.131.163.64,17,9
221.187.105.171,144.133.254.149,17,18
59.145.225.205,195.91.157.232,17,1
129.127.31.149,173.125.179.124,17,1
31.127.168.134,134.81.21.210,17,11
186.239.15.84,182.171.63.38,17,11
127.39.20.239,54.148.105.240,17,12
98.108.219.104,9.64.103.130,17,13
78.241.4.131,210.27.114.90,17,5
216.67.187.230,200.251.237.208,17,9
185.44.102.154,9.198.158.107,17,2
177.215.16.25,225.84.77.134,17,14
102.117.128.234,158.241.95.69,17,18
58.31.232.121,134.174.201.185,17,5
143.24.67.127,32.207.92.208,17,2
160.89.188.83,254.114.183.55,17,14
250.66.223.203,93.180.198.44,17,10
152.255.44.226,140.32.124.73,17,15
159.151.9.237,73.98.150.36,17,3
189.253.82.163,139.139.1.93,17,13
251.236.213.142,52.209.239.20,17,15
