sIP,dIP,proto,ct
151.53.240.64,152.179.137.239,6,5
21.87.237.137,85.23.222.181,6,3
188.81.29.148,193.148.102.36,6,13
233.22.216.185,204.208.99.220,6,15
153.62.105.14,120.124.6.64,6,17
151.165.112.178,63.18.232.197,6,5
187.0.122.149,223.229.68.87,6,5
89.25.58.57,183.153.126.97,6,8
42.99.165.70,3.25.69.204,6,2
164.29.68.236,32.73.250.201,6,20
66.150.194.159,136.88.173.234,6,9
8.143.115.22,143.211.187.102,17,10
182.246.228.250,212.41.88.173,17,11
38.157.108.84,130.96.233.63,17,1
60.54.97.225,161.191.19.138,17,20
35.158.38.198,168.207.97.115,17,8
124.139.168.90,252.254.2.69,17,3
111.22.227.15,72.99.146.26,17,10
60.175.15.182,29.42.125.235,17,12
67.123.107.18,242.48.217.139,17,13
142.193.219.194,54.16.253.252,17,11
48.152.214.158,91.203.175.56,17,12
195.54.21.104,158.34.50.67,17,18
186.161.83.93,249.252.218.122,17,11
133.142.163.99,143.180.144.218,17,20
189.242.246.236,193.208.65.167,17,4
240.100.18.110,31.104.233.19,17,4
158.228.142.63,99.24.133.53,17,6
176.54.74.22,72.46.65.171,17,9
6.143.180.129,230.110.4.94,17,15
111.67.230.131,218.67.153.149,17,18
155.175.226.50,92.69.141.45,17,2
210.242.69.159,230.50.4.218,17,1
123.211.93.255,220.253.166.193,17,2
20.53.48.249,166.154.140.201,17,15
181.125.170.250,199.195.186.112,17,14
138.125.241.200,177.54.253.70,17,8
173.92.153.245,78.34.172.186,17,15
26.62.98.189,237.80.28.198,17,5
41.7.172.182,229.38.123.0,17,6
134.160.202.128,50.73.76.56,17,18
109.66.170.170,166.139.159.35,17,1
178.135.212.142,144.46.234.134,17,1
212.245.1.229,235.87.22.133,17,1
151.12.213.19,57.153.80.223,17,12
38.191.187.56,22.149.183.107,17,13
62.76.99.102,40.178.17.124,17,10
120.247.249.45,171.217.90.219,17,17
245.148.55.239,105.204.159.88,17,8
230.201.114.245,49.37.48.177,17,16
254.159.194.74,126.177.25.163,17,10
165.4.179.171,8.143.203.188,17,19
196.86.159.31,212.180.50.247,17,17
162.110.169.226,167.100.154.206,17,3
111.198.42.109,13.186.177.108,17,6
235.78.122.106,110.221.187.85,17,19
101.215.176.143,232.234.99.200,17,2
191.14.41.165,175.162.225.161,17,4
54.36.177.201,185.32.157.18,17,19
3.248.51.188,240.20.230.19,17,14
182.85.77.100,136.160.40.152,17,7
43.3.113.3,50.100.226.223,17,11
108.104.9.17,102.154.223.224,17,18
181.21.200.209,246.82.121.38,17,5
247.142.28.24,191.107.178.198,17,13
188.111.176.190,143.88.76.218,17,6
245.121.235.44,142.17.96.233,17,5
163.105.107.116,195.132.239.127,17,19
18.137.55.205,46.228.253.13,17,18
223.41.211.102,219.153.242.78,17,5
33.28.223.48,115.178.189.145,17,4
145.129.162.0,4.42.78.66,17,12
112.67.168.214,183.2.147.248,17,6
169.10.212.56,167.29.249.59,17,16
115.147.152.154,161.87.216.50,17,11
15.145.73.221,232.129.192.95,17,18
73.46.79.87,23.92.218.215,17,9
172.45.84.128,225.100.202.21,17,19
71.24.58.188,69.22.139.238,17,20
159.62.164.175,210.175.18.35,17,8
93.135.247.145,246.196.35.134,17,4
1.96.24.100,32.141.254.102,17,5
91.246.8.169,139.5.24.54,17,10
11.155.32.231,73.178.76.74,17,13
151.140.82.30,180.97.20.146,17,17
193.27.3.253,207.162.79.69,17,17
200.20.216.97,235.173.249.250,17,5
32.157.200.98,91.83.199.181,17,20
204.125.20.66,110.135.132.245,17,2
155.47.9.190,41.163.140.147,17,7
126.0.100.72,67.29.234.117,17,18
41.229.175.112,92.80.39.234,17,1
73.207.126.16,103.240.31.210,17,16
16.237.152.146,28.111.59.1,17,17
37.199.10.105,76.175.146.225,17,13
3.213.159.175,126.16.200.187,17,8
138.116.8.163,240.52.239.43,17,15
83.145.59.138,155.206.37.104,17,4
127.16.164.167,144.101.221.157,17,11
34.223.120.106,62.217.50.143,17,4
7.112.225.112,11.242.125.237,17,8
236.119.116.127,173.27.150.169,17,14
9.41.210.255,79.222.155.20,17,8
206.198.44.35,85.63.126.33,17,2
15.55.164.245,223.58.88.87,17,8
89.152.210.49,209.190.254.1,17,5
176.223.136.209,93.236.161.146,17,19
228.162.26.194,250.54.166.27,17,16
93.81.19.136,243.73.155.81,17,2
22.160.49.77,225.85.46.242,17,19
171.189.146.26,180.157.221.101,17,13
140.225.242.58,153.235.82.32,17,9
