sIP,dIP,proto,ct
55.52.136.117,180.78.78.175,6,17
30.42.203.208,42.54.240.244,6,9
212.115.123.34,215.13.255.201,6,1
55.123.35.204,55.82.218.178,6,3
208.158.175.228,206.225.232.191,6,20
120.151.205.192,39.61.170.106,6,2
117.46.3.86,112.78.159.200,6,17
61.129.39.212,231.151.204.206,6,19
2.220.147.156,152.243.219.248,6,12
95.14.180.66,138.96.148.56,6,15
26.209.232.62,84.181.249.67,17,7
160.166.5.83,143.88.184.223,17,19
142.81.146.237,173.135.120.182,17,19
68.190.158.101,140.209.249.247,17,18
55.89.179.113,70.49.214.152,17,4
93.102.109.232,215.130.193.202,17,13
196.36.144.205,61.148.62.150,17,9
50.152.0.207,52.87.81.97,17,18
203.239.100.123,136.222.178.20,17,14
125.4.171.109,20.30.203.217,17,2
74.150.61.221,251.162.179.97,17,18
209.29.172.26,132.114.63.19,17,18
233.212.94.9,149.251.204.165,17,16
199.228.94.45,141.186.102.235,17,2
42.55.106.136,68.16.116.125,17,19
139.15.188.180,110.169.197.120,17,13
21.52.112.213,53.10.151.140,17,5
53.91.240.207,147.73.171.185,17,17
1.110.175.154,4.242.135.234,17,18
0.141.22.87,13.115.91.154,17,11
103.203.167.106,55.79.165.246,17,14
224.49.241.170,13.70.60.242,17,16
83.249.134.93,111.136.147.185,17,1
145.5.83.141,148.78.193.214,17,6
105.30.41.18,212.126.205.200,17,8
99.119.100.206,85.130.23.182,17,2
142.13.252.126,83.71.178.148,17,6
247.70.202.128,176.15.87.237,17,20
49.18.86.95,86.110.164.161,17,1
110.114.4.164,58.236.101.202,17,1
5.224.245.126,226.104.63.25,17,9
128.238.116.138,74.185.144.105,17,6
70.70.213.71,217.111.88.56,17,18
229.145.184.175,55.22.249.31,17,9
243.144.15.61,178.187.221.200,17,4
255.189.111.39,30.23.139.133,17,3
18.172.179.54,115.205.247.172,17,10
66.201.50.67,230.204.64.112,17,13
221.228.15.79,245.103.132.146,17,14
25.125.209.118,72.135.231.35,17,15
89.3.15.158,182.134.47.90,17,11
209.129.248.53,113.222.18.249,17,15
99.118.231.240,19.116.164.66,17,16
67.252.192.180,160.127.6.92,17,5
41.63.254.254,227.1.242.14,17,19
83.129.107.3,252.247.179.98,17,6
16.200.66.223,28.243.24.17,17,6
200.5.79.210,218.230.131.127,17,15
228.66.197.215,3.72.68.86,17,12
28.213.168.191,35.154.245.89,17,15
91.145.11.219,230.100.208.23,17,19
185.218.181.47,143.50.117.100,17,1
22.112.213.48,212.219.146.167,17,1
87.11.12.68,39.68.160.118,17,12
140.88.146.38,200.132.106.245,17,5
231.166.104.7,129.237.241.34,17,7
134.234.176.163,71.165.197.131,17,8
134.0.103.121,235.94.142.58,17,8
20.215.200.129,243.95.219.56,17,13
251.137.52.47,89.140.162.52,17,13
132.248.49.45,177.60.170.195,17,15
246.231.240.50,58.160.29.221,17,1
85.43.79.23,86.113.90.133,17,14
199.24.7.139,217.244.197.78,17,9
189.236.247.175,225.24.247.28,17,9
83.216.88.73,142.133.158.34,17,20
211.107.177.3,178.227.90.15,17,15
149.159.227.6,220.235.35.149,17,13
18.74.144.142,73.194.7.175,17,13
51.191.191.34,92.70.44.244,17,20
33.13.210.107,123.17.107.110,17,7
60.179.97.174,7.170.210.213,17,9
14.24.101.144,27.50.241.9,17,10
204.250.10.60,155.2.105.46,17,3
124.96.192.146,82.254.91.83,17,4
49.121.46.123,167.147.40.40,17,3
26.147.31.18,27.107.185.140,17,10
210.232.146.205,4.181.93.159,17,18
206.18.23.176,170.70.54.254,17,11
187.183.149.35,67.63.9.197,17,20
244.132.45.167,115.122.193.21,17,16
165.231.136.209,246.252.204.98,17,17
111.158.201.35,228.217.62.120,17,1
57.240.71.45,131.20.109.210,17,18
89.56.139.110,146.250.213.146,17,7
65.214.251.12,245.239.97.42,17,11
2.196.103.123,23.210.200.161,17,12
254.92.140.119,133.6.72.153,17,14
173.241.169.161,215.111.32.4,17,10
52.50.143.207,180.13.213.158,17,3
234.54.182.222,86.147.101.144,17,3
180.204.101.243,194.11.188.26,17,11
223.213.35.71,203.204.204.136,17,2
61.135.221.83,213.235.206.128,17,16
134.214.71.2,194.242.176.66,17,12
232.14.242.211,88.245.95.252,17,16
247.40.12.230,65.57.114.2,17,13
36.189.247.102,167.149.242.116,17,3
208.38.178.54,249.92.239.98,17,20
175.10.40.86,12.116.169.239,17,8
