sIP,dIP,proto,ct
17.26.63.148,112.112.118.38,6,9
226.148.194.80,210.180.6.223,6,18
27.102.189.226,23.231.121.91,6,15
221.206.223.97,227.128.174.248,6,8
236.83.129.63,116.172.86.30,6,11
160.117.31.115,211.21.127.214,6,18
148.74.167.99,242.25.199.202,6,17
62.54.148.216,230.184.109.0,6,16
162.187.18.156,101.157.228.158,6,18
225.205.89.243,92.170.244.166,6,5
191.4.156.225,151.140.155.126,6,9
213.171.5.227,81.131.38.52,6,14
75.53.10.146,13.74.18.248,6,8
71.138.82.103,201.110.169.53,6,10
192.181.53.149,171.131.67.11,6,16
198.243.241.110,42.238.146.200,6,2
19.7.236.51,151.69.132.22,6,16
132.140.145.80,255.54.224.135,6,12
114.217.115.164,199.55.234.55,6,4
73.101.48.114,188.29.79.7,6,11
59.25.144.111,244.127.213.30,6,8
57.249.201.77,158.100.178.138,6,1
90.242.196.145,63.147.22.106,6,2
43.110.183.16,2.212.179.197,6,3
145.199.237.218,107.97.142.203,6,8
24.83.155.154,137.83.131.211,6,10
28.238.130.23,212.172.254.105,6,13
29.83.70.117,6.163.173.223,6,5
109.236.167.115,104.43.87.215,6,7
144.201.128.65,63.173.223.52,6,7
95.182.60.75,94.194.210.68,6,6
199.216.71.234,99.92.122.65,6,19
199.48.108.243,255.130.82.41,6,13
41.127.88.23,23.176.133.225,6,4
124.229.216.53,184.247.222.189,6,18
132.210.38.236,246.177.95.64,6,5
174.103.42.88,114.4.41.41,6,9
115.70.70.234,25.115.150.154,6,17
142.231.79.110,182.210.58.244,6,13
214.252.31.124,88.176.15.49,6,2
195.140.243.121,4.61.11.22,6,9
223.230.198.222,44.98.111.152,6,1
88.206.130.195,125.169.8.236,6,10
207.159.88.170,144.70.235.32,6,10
167.36.67.61,56.239.173.176,6,9
0.191.88.29,243.33.244.65,6,9
211.167.227.22,7.1.49.124,6,11
101.52.31.240,228.171.112.155,6,12
5.193.43.93,251.5.163.151,6,10
204.192.131.64,139.77.32.105,6,15
244.65.124.94,141.82.55.152,6,1
112.39.107.85,129.22.150.26,6,17
154.76.80.42,229.200.170.8,6,16
124.56.88.41,99.180.241.96,6,18
111.24.38.130,75.14.245.204,6,8
43.67.22.247,245.124.89.0,6,19
206.6.193.103,45.123.136.96,6,14
247.247.251.81,167.25.207.188,6,2
147.106.246.113,108.159.87.81,6,19
52.56.242.115,237.164.158.103,6,8
187.113.75.122,212.188.97.127,6,1
201.138.48.90,126.124.52.103,6,13
200.73.65.29,198.240.48.232,6,13
27.185.53.127,26.128.110.252,6,8
250.151.171.192,209.69.205.136,6,1
177.139.176.11,95.232.153.215,6,10
67.222.225.79,30.48.25.66,6,9
86.173.132.171,33.113.205.101,6,14
184.59.148.169,124.233.2.156,6,3
46.224.64.222,68.175.211.175,6,20
28.225.145.84,220.161.28.168,6,18
132.101.34.17,197.200.172.153,6,18
1.163.90.69,206.18.49.215,6,17
41.155.67.248,30.83.150.169,6,15
7.48.4.75,232.38.23.45,6,18
21.84.35.255,241.201.234.153,6,1
216.49.33.151,58.165.199.119,6,6
159.185.201.173,130.61.121.167,6,12
92.95.140.172,84.30.188.204,6,9
226.210.176.43,39.57.158.236,6,13
96.226.65.106,92.197.126.63,6,19
178.96.140.148,228.237.54.138,6,11
145.147.182.211,178.132.75.126,6,5
123.36.247.153,113.234.118.164,6,16
155.237.56.181,55.2.101.101,6,11
72.200.163.19,134.236.13.199,6,19
45.81.31.121,120.123.165.204,6,15
127.186.166.141,20.104.108.95,6,20
216.155.36.228,252.21.43.215,6,13
211.151.133.250,128.172.190.236,6,8
137.16.231.222,44.112.178.50,6,19
183.48.63.103,79.178.111.27,6,10
34.139.60.134,116.89.146.203,6,19
92.36.77.252,249.62.164.213,6,12
23.188.231.144,103.216.183.94,6,18
79.77.17.252,225.23.154.205,6,11
194.41.15.146,76.242.196.79,6,9
21.134.199.224,71.11.148.141,6,8
180.138.60.199,100.106.147.136,6,3
87.123.20.135,98.91.136.138,6,12
71.77.146.161,144.210.255.227,17,7
105.30.216.41,72.193.67.141,17,5
146.22.76.238,231.145.103.76,17,17
209.150.22.6,183.103.159.214,17,11
5.169.229.166,204.145.143.107,17,12
122.86.104.46,48.4.124.60,17,10
176.106.136.113,10.205.21.178,17,11
126.252.93.9,203.81.207.233,17,15
183.205.173.116,95.162.157.24,17,20
223.129.134.187,43.0.106.252,17,9
